property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
2759,-37.81466293,144.8821869,12 Kingston Street,YARRAVILLE,MITCHELL ,19996,0.69,no direct trip is available,0
93416,-38.017895,145.096328,49 Station Street,ASPENDALE,YARRIAMBIACK ,19862,1.16,51,1
25559,-37.59619904,144.9361267,16 Dianne Avenue,CRAIGIEBURN,YARRA RANGES ,40221,0.89,41,1
20436,-37.763078,144.9543,122 Hope Street,BRUNSWICK,MARIBYRNONG ,19967,0.6,18,1
69246,-37.853667,145.040083,62 McArthur Street,MALVERN,BAW BAW ,19911,0.5,no direct trip is available,1
94268,-37.95363998,145.083786,1/49 Kingston Road,HEATHERTON,SOUTH GIPPSLAND ,19866,2.95,40,1
31797,-37.747676,144.988214,123 Gilbert Road,PRESTON,BOROONDARA ,20013,1.08,33,1
21693,-37.736071,144.95433799999995,1 Kerferd Street,COBURG,MOONEE VALLEY ,19964,0.8,25,1
34892,-37.724236,145.018148,4 Tambo Avenue,RESERVOIR,EAST GIPPSLAND ,20010,1.28,40,1
90803,-37.97065,145.072118,51 Follett Road,CHELTENHAM,YARRA RANGES ,19865,1.39,43,1
9785,-37.894631,144.637979,26 Coventry Drive,WERRIBEE,LODDON ,19921,2.1,no direct trip is available,0
5928,-37.779321,144.838299,1 & 2/10 Farnsworth Street,SUNSHINE,KNOX ,20021,1.13,20,1
8260,-37.750027,144.747247,20 Niewand Avenue,BURNSIDE,MOYNE ,20002,4.68,28,1
43182,-37.719141,145.0891,5 Jennifer Court,MACLEOD,WANGARATTA ,19984,1.02,42,1
76197,-37.907576,145.109298,41 Ross Street,HUNTINGDALE,GREATER DANDENONG ,19916,0.72,28,1
26667,-37.591999,144.932717,37 Medway Road,CRAIGIEBURN,YARRA RANGES ,40221,1.44,41,1
89153,-37.946431,145.012441,11a Minnie Street,SANDRINGHAM,PYRENEES ,19948,0.82,no direct trip is available,0
19956,-37.79663467,144.9533386,35 Park Drive,PARKVILLE,MURRINDINDI ,19973,1.5,5,1
87112,-37.919349,144.989829,8 Dendy Street,BRIGHTON,HUME ,19951,0.74,no direct trip is available,0
83829,-37.849432,145.00946000000005,3 A'Beckett Street,PRAHRAN,BOROONDARA ,19946,0.42,14,1
65484,-37.79873657,145.3253479,7 Morrison Crescent,KILSYTH,SURF COAST ,19877,1.93,46,1
78092,-37.928772,145.17863,45 Kambara Drive,MULGRAVE,MACEDON RANGES ,19913,3.2,36,1
23577,-37.64907455,144.9042664,31 Dunfermline Avenue,GREENVALE,HORSHAM ,44817,2.33,35,1
73051,-37.855519,145.28430500000005,17 Central Avenue,BORONIA,TOWONG ,19869,0.55,44,1
42796,-37.71579361,145.0632324,"115 Ernest Jones Drive, Springthorpe",MACLEOD,WANGARATTA ,19983,1.25,39,1
52535,-37.813675,144.99338899999995,18 Peers Street,RICHMOND,EAST GIPPSLAND ,19978,0.22,14,1
81879,-37.984726,145.242974,19 Kathryn Street,DOVETON,HINDMARSH ,19888,2.97,46,1
45597,-37.716976,145.09349,9 Warralong Avenue,GREENSBOROUGH,GLEN EIRA ,19984,1.09,42,1
4313,-37.84325,144.87743400000005,28 Agg Street,NEWPORT,MANSFIELD ,19994,0.55,no direct trip is available,0
53760,-37.821597,145.005101,78 Hunter Street,RICHMOND,EAST GIPPSLAND ,19906,0.7,8,1
32640,-37.73985291,145.00758359999998,34 Townhall Avenue,PRESTON,BOROONDARA ,20012,0.64,35,1
15007,-37.739756,144.926313,14 Downes Street,STRATHMORE,KNOX ,20035,0.44,21,1
13560,-37.712647,144.7687,9 Derribong Court,DELAHEY,BULOKE ,20000,1.37,34,1
8510,-37.764583,144.780762,41 Gurnung Drive,CAIRNLEA,YARRA RANGES ,20003,2.65,26,1
25317,-37.587619,144.93194599999995,13 Leawood Glade,CRAIGIEBURN,YARRA RANGES ,40221,1.87,41,1
87895,-37.935686,145.009472,66 Littlewood Street,HAMPTON,WYNDHAM ,19949,0.75,no direct trip is available,0
13356,-37.70392609,144.7579041,61B Boberrit Wynd,SYDENHAM,HEPBURN ,20000,1.47,34,1
59027,-37.805409,145.183717,51 Worrell Street,NUNAWADING,STONNINGTON ,19900,1.58,31,1
95041,-37.922561,145.048173,1A Jeffrey Street,BENTLEIGH,HOBSONS BAY ,19939,1.14,30,1
46828,-37.717518,145.158949,2/93 Arthur Street,ELTHAM,FRANKSTON ,19987,1.07,52,1
93493,-38.003812,145.095281,55  Bear Street,MORDIALLOC,PORT PHILLIP ,19863,0.74,48,1
78998,-37.93872,145.146183,35  Burden street,SPRINGVALE,GREATER BENDIGO ,19914,0.65,33,1
69045,-37.859911,145.029574,3 Winter Street,MALVERN,BAW BAW ,19944,0.71,18,1
20130,-37.79819107,144.96612549999998,284-286 Cardigan Street,CARLTON,STRATHBOGIE ,19842,1.34,0,1
39298,-37.693538,145.04559,1 Myers Court,BUNDOORA,WODONGA ,20008,2.97,44,1
67123,-37.761151,145.364499,17a Summit Road,LILYDALE,FRANKSTON ,19876,1.61,51,1
5966,-37.793147,144.843266,1 Walter Street,SUNSHINE,KNOX ,20021,1.05,20,1
77793,-37.932348,145.16393200000005,25 Studley Street,MULGRAVE,MACEDON RANGES ,19913,2.12,36,1
